District_Name,Crop_Year,Season,Crop,Area,Yield,Rainfall,Texture,pH,Drainage,Water_Holding,Salinity,Fertility_Level,Temp_Max_C,Temp_Min_C,Irrigation_Level,Net_Cropped_Area_ha,Gross_Cropped_Area_ha,Climate_Type,Soil_Type
1,1997,2,71,457,1.0065645514223194,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1997,2,73,1320,37.50757575757576,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1997,2,74,844,1.481042654028436,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1997,2,76,160230,0.9700430630967984,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1997,2,77,2024,8.379446640316205,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1997,2,79,3085,0.46677471636953,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1998,0,2,2312,0.8641868512110726,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1998,0,4,244,2.094262295081968,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1998,0,23,15370,2.1011060507482107,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1998,0,31,39937,1.733930941232441,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1998,0,33,7231,0.4190291799197898,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1998,0,35,88370,0.7295462260948286,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1998,0,39,18828,1.124017420862545,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1998,0,42,7116,0.547920179876335,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1998,0,58,43420,0.4677567941040995,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1998,0,60,510,2.492156862745098,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1998,0,64,15034,3.4305574032193693,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1998,0,67,1106,0.3824593128390596,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1998,0,68,4600,0.7391304347826086,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1998,0,71,191,1.031413612565445,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1998,0,76,167323,0.0953963292553922,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1998,0,79,10191,0.4889608478068884,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1998,1,29,4164,0.9560518731988472,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1998,1,82,20,0.05,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1998,2,5,6189,39.33608014218776,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1998,2,11,130,0.2,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1998,2,15,833,0.0816326530612244,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1998,2,18,174,0.3448275862068966,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1998,2,22,822,0.1824817518248175,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1998,2,26,1980,0.6070707070707071,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1998,2,43,3093,12.476883284836727,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1998,2,66,1,1.0,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1998,2,70,13193,111.23019783218372,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1998,2,73,1526,37.142201834862384,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1998,2,74,461,1.490238611713666,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1998,2,77,2652,8.378959276018099,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1999,0,2,961,0.6607700312174818,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1999,0,4,670,2.053731343283582,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1999,0,18,3771,0.3619729514717582,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1999,0,23,7627,1.60797167955946,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1999,0,31,36123,1.525620795614982,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1999,0,33,7884,0.3786149162861492,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1999,0,35,87539,0.5023817955425581,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1999,0,36,2,0.5,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1999,0,39,19841,1.125346504712464,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1999,0,42,6400,0.485,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1999,0,60,419,1.071599045346062,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1999,0,64,16875,3.58482962962963,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1999,0,67,1100,0.4736363636363636,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1999,0,71,978,1.0061349693251531,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1999,0,79,5178,0.5179606025492468,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1999,1,29,5030,0.7401590457256462,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1999,1,65,134,0.5447761194029851,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1999,1,82,9,0.4444444444444444,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1999,2,5,5619,32.69976864210714,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1999,2,17,36,0.3055555555555556,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1999,2,22,324,0.1820987654320987,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1999,2,26,1418,0.8709449929478138,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1999,2,32,11939,9.914900745456068,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1999,2,43,2813,13.220049768929968,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1999,2,70,11939,100.0952341067091,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1999,2,72,2,12.0,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1999,2,73,834,35.485611510791365,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1999,2,74,936,1.7307692307692308,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1999,2,77,3023,6.399603043334436,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,2000,0,2,632,0.6613924050632911,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,2000,0,4,307,1.5602605863192185,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,2000,0,18,242,0.3636363636363636,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,2000,0,23,6674,1.6462391369493556,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,2000,0,31,20169,1.3603054192076949,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,2000,0,33,4859,0.3722988269191191,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,2000,0,35,74450,0.4788448623237072,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,2000,0,39,18075,1.12536652835408,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,2000,0,42,5292,0.4529478458049886,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,2000,0,45,10,0.6,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,2000,0,48,12066,0.2139897231891264,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,2000,0,60,295,1.0338983050847457,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,2000,0,64,12170,3.867378800328677,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,2000,0,67,800,0.4775,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,2000,0,71,145,1.0551724137931036,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,2000,0,79,3716,0.5180301399354145,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,2000,1,29,2297,0.740095777100566,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,2000,1,61,6,0.1666666666666666,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,2000,1,82,8,0.5,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
